SMILES,molaff,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MinPartialCharge,PEOE_VSA2,NumRotatableBonds
OC[C@@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)Oc(c2=O)c(oc(c23)cc(O)cc3O)-c4cc(OC)c(cc4)O[C@@H](O5)[C@H](O)[C@H](O)[C@@H](O)[C@H]5CO,-3.9361,14.94369476,1.272385414,0.119309256,-0.507678166,4.794537184,19
CC(C)=CCc(c(O)cc1O)c(c12)O[C@H](CC2=O)c3ccccc3,-1.3804,13.69569208,0.979677903,0.82553861,-0.507374534,4.794537184,7
C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O1)OC[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O2)Oc(c(c3O)OC)cc(c34)oc(cc4=O)-c5ccc(cc5)OC,-4.7741,14.08445294,1.207412192,0.16339556,-0.503551203,4.794537184,18
OC[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)OC[C@@H](C)CC[C@](O)([C@H]2C)O[C@@H]([C@@H]2[C@]34C)C[C@H]3[C@H]5[C@@H](CC4)[C@]6(C)C(=CC5)C[C@@H](O)C[C@H]6O[C@H]7OC[C@@H](O)[C@@H](O)[C@H]7O[C@H](O8)[C@@H](O)[C@H](O)[C@@H](O)[C@H]8C,-5.8445,11.02124146,3.566265056,0.10847311,-0.393566515,0,27
NC(=O)CC(=O)[C@@H](CC(C)C)NC(=O)[C@H]1CCCN1C(=O)[C@@H](C)NC(=O)COc(cc2O)cc(c23)occ(c3=O)-c(c4)ccc(c45)OCCO5,-3.276,14.94444367,1.060417943,0.189406806,-0.506892737,28.7672231,17
c1ccccc1C[C@@H](C(=O)N([C@@H]2[C@@]34O)CCC2)N3C(=O)[C@](O4)(C(C)C)NC(=O)[C@H](C5)C[N@@H+](C)[C@H](C6)[C@H]5c7cccc8[nH]cc6c78,-0.7109,16.46692918,0.246863723,0.346618456,-0.360877286,24.02038424,9
c1ccccc1C[C@H](C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)COc(cc3O)cc(c34)occ(c4=O)-c(c5)ccc(c56)OCCO6,-4.182,14.59248531,1.003982557,0.256640919,-0.506892737,19.17814874,10
[C@H]12[C@H](O2)C[C@H](O)CC(=O)C[C@H](O)[C@@H](C([O-])=O)[C@@H](O)C[C@@H](O[C@H](O3)[C@H](O)[C@H]([NH3+])[C@H](O)[C@H]3C)\C=C\C=C\C=C\C=C\C[C@H](C)OC(=O)\C=C\1,-5.4054,14.57494134,2.238898131,0.140123861,-0.549655494,4.794537184,11
C1CCC(=C)[C@H]([C@]12C)C[C@H]3[C@H](C2)OC(=O)[C@@H]3C[NH2+]C[C@@H]4C(=O)O[C@H](C5)[C@H]4C[C@@H]([C@@]56C)C(=C)CCC6,-3.4184,14.57574604,2.455505873,0.482181196,-0.461635513,9.589074368,6
O1C[C@H](C)CC[C@@]12[C@@H](C)[C@@H]3[C@]4(C)[C@@H](C[C@@H]3O2)[C@H]5[C@@H](CC4)[C@]6(C)C(=CC5)C[C@@H](O)C[C@H]6O[C@H]7OC[C@@H](O)[C@@H](O)[C@H]7O[C@@H](O8)[C@@H](O)[C@H](O)[C@@H](O)[C@H]8C,-4.6295,10.90580069,3.391548151,0.234813654,-0.392694222,0,15
Oc1cc(OC)cc(c12)O[C@@H](CC2=O)c(c3)ccc(O)c3O,-5.4146,13.24380578,0.894692911,0.737648299,-0.506906982,4.794537184,6
OC[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)O[C@@H]([C@@H]2CO)[C@H](O)[C@H](O)[C@H](O2)O[C@@H]([C@@H]3CO)[C@H](O)[C@@H](O)[C@@H](O3)O[C@@H]([C@H](O)[C@@H]4O)CC[C@H]4O[C@@H]5[C@H](O)[C@H](O)[C@H](O)O[C@H]5C,-7.1958,9.606678496,3.666181756,0.092513608,-0.393566515,0,27
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@]1(CO)OC[C@@]2([C@@H](O)[C@H](O)[C@H](O2)CO)OC[C@@]3([C@@H](O)[C@H](O)[C@H](O3)CO)O[C@@H](O4)[C@H](O)[C@@H](O)[C@H](O)[C@H]4CO,-4.9794,9.564626711,3.680982847,0.086696993,-0.393566515,0,27
COc(c1O)c(O)cc(c12)oc(cc2=O)-c3cc(O)c(O)cc3,-3.3641,13.0865636,0.716711362,0.535213435,-0.504259607,4.794537184,7
C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O1)OC[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O2)Oc(cc3)c(OC)cc3[C@@H]4OC[C@@H]([C@@H]45)[C@@H](OC5)c6cc(OC)c(O)cc6,-3.6808,9.646336155,1.378324622,0.179901625,-0.504254587,0,19
CC(C)=CC[C@]1(OC)[C@@H](O)CCc(c2OC)c1nc(c23)occ3,-4.4794,8.92785112,0.944927354,0.876203675,-0.495560463,0,9
OC[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)OC(=O)[C@](C)(CCC2)[C@@H](CC3)[C@]2(C)[C@@H]([C@@]345)C[C@H]([C@@H](C5)C(=C)C4)O[C@@H](O6)[C@@H]([C@@H](O)[C@H](O)[C@H]6CO)O[C@H](O7)[C@H](O)[C@@H](O)[C@H](O)[C@H]7CO,-4.5261,16.55594087,3.012689525,0.06257922,-0.432299197,4.794537184,22
C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O1)OC[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O2)Oc(cc3O)cc(c34)oc(cc4=O)-c5ccc(cc5)OC,-4.76,13.83168934,1.135993725,0.178828158,-0.506893135,4.794537184,16
C[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O1)OC[C@@H]2[C@H](O)[C@@H](O)[C@H](O)[C@H](O2)Oc(c3=O)c(-c4cc(O)c(O)cc4)oc(c35)cc(O)cc5O,-4.0322,14.82085651,1.175701425,0.139517843,-0.507678166,4.794537184,17
c1cc([N+]([O-])=O)ccc1/C=C/2C(=O)C(C)(C)Oc3ccc(c4c23)ccc(=O)o4,-3.7363,14.10354938,0.783729772,0.289793774,-0.478907939,14.90885545,4
OCCNc(c(=O)c1)ccc2c1[C@@H]([NH2+]C)CCc(c23)cc(OC)c(OC)c3OC,-4.4166,14.18551271,0.87349025,0.648094263,-0.492703839,4.794537184,12
c1cc(O)ccc1C(=O)O[C@@H]2C[C@@H](CC3)C(C)(C)[C@]23C,-5.4283,13.42639975,1.018691687,0.83511396,-0.507966179,0,6
COc(cc1)c(OC)cc1Cc2nccc(c23)cc(OC)c(c3)OC,-5.6928,8.899648054,0.868985672,0.682418455,-0.492869975,4.983978521,10
NC(=O)c1c[nH]c(c12)cccc2,-4.8755,11.73394841,0.297521259,0.647934181,-0.365531752,4.794537184,1
COC(=O)c1c(C)cc(O)c(C)c1O,-1.8202,12.18829885,1.079806784,0.667793,-0.507531705,0,6
C=CCNC(=S)N(C1)C[C@H]2C[C@@H]1Cn(c23)c(=O)ccc3,-4.1949,12.95407213,0.261979369,0.6582125,-0.359106869,4.794537184,2
CC(=O)[C@H](C(=O)O1)C(=O)C=C1C,-5.5364,11.74814815,1.283595522,0.414812538,-0.4303698,14.38361155,3
[O-]C(=O)/C=C/c1ccc(O)cc1,-5.0594,10.48225183,0.646730915,0.631327961,-0.545466972,0,3
[O-]C(=O)CCc1ccccc1,-4.1885,10.72107127,0.783739607,0.622504727,-0.550159506,0,3
[O-]C(=O)/C=C/c1c(OC)cccc1,-2.7293,10.63826338,0.818721655,0.629967287,-0.545466953,0,4
c1ccccc1[C@H](C#N)O[C@H](O2)[C@H](O)[C@H](O)[C@@H](O)[C@H]2CO[C@H](O3)[C@H](O)[C@@H](O)[C@@H](O)[C@H]3CO,-5.137,10.06968392,0.911294781,0.217517786,-0.393566515,0,14
CCOC(=O)c1ccc(O)cc1,-1.883,11.84612765,0.731128157,0.678101674,-0.507966179,0,4
O=Cc1c(O)c(OC)ccc1,-4.7606,11.06987623,0.795694444,0.647743857,-0.503761213,4.794537184,4
O=Cc1ccc(cc1)OC,-5.0236,10.89608714,0.719544596,0.575816465,-0.496767793,4.794537184,3
O=Cc1ccc(O)cc1,-5.6647,10.76341931,0.560185185,0.568137403,-0.507966219,4.794537184,2
